gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,dt,dvp,dvt,ebit,ebitda,ib,invt,lct,lt,ni,oancf,optdr,revt,sale,seq,tie,costat,prcc_c
021124,20211231,2021,INDL,C,D,STD,LOCO,USD,49.5030,613.7860,310.6230,354.5900,36.6020,233.4650,0.0000,0.0000,43.1890,58.3650,29.1210,2.3180,74.5820,303.1630,29.1210,52.0990,0.0000,454.3630,454.3630,310.6230,,A,14.1900
021227,20211231,2021,INDL,C,D,STD,LBRDK,USD,459.0000,16968.0000,10127.0000,282.0000,170.6320,4003.0000,0.0000,0.0000,-3.0000,264.0000,732.0000,0.0000,582.0000,6626.0000,732.0000,3.0000,0.0000,988.0000,988.0000,10330.0000,,A,161.1000
021237,20211231,2021,INDL,C,D,STD,TTI,USD,210.3900,398.2660,99.7040,295.0620,126.9370,191.4730,0.0000,0.0000,-13.2920,20.2100,-16.7410,69.0980,97.1420,299.7030,103.3330,4.6570,,388.2720,388.2720,99.7040,,A,2.8400
021238,20211231,2021,INDL,C,D,STD,VICR,USD,356.7600,477.2050,423.5990,169.4590,43.9130,4.7760,0.0000,0.0000,55.6020,67.3070,56.6250,67.3220,49.0930,53.3000,56.6250,54.4440,0.0000,359.3640,359.3640,423.5990,,A,126.9800
021429,20211231,2021,INDL,C,D,STD,GVA,USD,1827.3990,2494.9270,967.6820,2635.1880,45.8400,391.8740,0.0000,23.8260,62.4730,131.7820,-0.5770,207.4020,1069.3180,1499.3640,10.0960,21.9310,,3010.0530,3010.0530,967.6820,,A,38.7000
021440,20211231,2021,INDL,C,D,STD,LSTR,USD,1522.9000,2045.4650,862.0100,5256.6610,37.6940,113.8550,0.0000,110.5780,505.6680,555.2770,381.5240,0.0000,1009.9830,1183.4550,381.5240,276.7400,,6540.4250,6540.4250,862.0100,,A,179.0200
021503,20211231,2021,INDL,C,D,STD,KMPR,USD,,14916.5000,4007.7000,5894.9000,63.6850,1608.6000,0.0000,81.0000,-258.4000,-158.6000,-120.5000,0.0000,,10908.8000,-120.5000,350.7000,1.4800,5736.3000,5736.3000,4007.7000,,A,58.7900
021515,20211231,2021,INDL,C,D,STD,UNVR,USD,2892.3000,6777.8000,2292.5000,7142.3000,169.3680,2436.2000,0.0000,0.0000,573.8000,777.2000,460.6000,932.2000,1667.6000,4485.3000,460.6000,290.3000,,9535.5000,9535.5000,2292.5000,,A,28.3500
021540,20211231,2021,INDL,C,D,STD,W,USD,3012.0000,4570.0000,-1619.0000,9491.0000,104.8430,4054.0000,0.0000,0.0000,-82.0000,240.0000,-131.0000,69.0000,2217.0000,6189.0000,-131.0000,410.0000,,13708.0000,13708.0000,-1619.0000,,A,189.9700
021542,20211231,2021,INDL,C,D,STD,AAON,USD,218.0800,650.1800,466.1700,369.2680,52.5280,57.0470,0.0000,19.9470,73.6320,103.9750,58.7580,136.0190,86.7680,184.0100,58.7580,61.1830,,534.5170,534.5170,466.1700,,A,79.4300
021593,20211231,2021,INDL,C,D,STD,CIVB,USD,,3011.9830,355.2120,7.1470,14.9540,,0.0000,8.0360,72.4400,75.3060,40.5460,1.9720,,2656.7710,40.5460,40.7610,,133.1940,133.1940,355.2120,6.3170,A,24.4000
021604,20211231,2021,INDL,C,D,STD,PGRE,USD,,8494.5620,3588.1630,497.9250,218.9920,3835.6200,0.0000,61.3100,145.8820,,-20.3540,0.0000,,4039.5300,-20.3540,244.3060,,703.8550,703.8550,3588.1630,,A,8.3400
021630,20211231,2021,INDL,C,D,STD,STOR,USD,,9773.0820,5144.1290,309.0360,273.8060,4376.1580,0.0000,407.1920,401.2700,,268.3480,0.0000,,4628.9530,268.3480,583.3730,,786.6130,786.6130,5144.1290,,A,34.4000
021633,20211231,2021,INDL,C,D,STD,VBTX,USD,,9757.2490,1315.0790,30.8710,49.3720,,0.0000,36.5430,216.2760,232.0070,139.5840,26.0070,,8442.1700,139.5840,193.4910,,374.8890,374.8890,1315.0790,35.7010,A,39.7800
021743,20210331,2020,INDL,C,D,STD,NVEC,USD,24.3630,72.5010,70.8920,3.8120,4.8330,0.7320,0.0000,19.3370,12.7440,13.0530,11.6940,3.9010,1.0270,1.6090,11.6940,13.3650,7.2000,21.3660,21.3660,70.8920,,A,56.1800
021761,20210630,2021,INDL,C,D,STD,CDK,USD,562.3000,2712.6000,480.8000,776.3000,121.5000,1638.1000,0.0000,73.0000,437.3000,536.0000,181.5000,0.0000,368.3000,2217.7000,1034.3000,216.7000,1.4000,1673.2000,1673.2000,480.8000,,A,41.7400
021777,20211231,2021,INDL,C,D,STD,MMSI,USD,482.2120,1648.2940,1039.7990,512.5350,56.5700,315.0290,0.0000,0.0000,115.5540,199.6200,48.4540,221.9220,236.2800,608.4950,48.4540,147.2310,0.0000,1074.7510,1074.7510,1039.7990,,A,62.3000
021798,20211231,2021,INDL,C,D,STD,FRPT,USD,150.3250,784.4100,719.7540,245.0450,43.4350,7.0940,0.0000,0.0000,-22.9050,7.5630,-29.6990,35.5740,58.9460,64.6560,-29.6990,0.6470,0.0000,425.4890,425.4890,719.7540,,A,95.2700
021815,20211231,2021,INDL,C,D,STD,TBK,USD,,5956.2500,813.8640,9.5950,25.1590,,3.2060,3.2060,211.1240,234.0370,112.9740,7.8540,,5097.3860,112.9740,136.9590,0.0000,442.0560,442.0560,858.8640,18.4250,A,119.0800
