gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
004108,20211231,2021,INDL,C,D,STD,FLS,USD,A,2010
004115,20210131,2020,INDL,C,D,STD,DY,USD,A,2010
004145,20211231,2021,INDL,C,D,STD,PKI,USD,A,3520
004193,20211231,2021,INDL,C,D,STD,EGP,USD,A,6010
004194,20211231,2021,INDL,C,D,STD,KODK,USD,A,4520
004199,20211231,2021,INDL,C,D,STD,ETN,USD,A,2010
004213,20211231,2021,INDL,C,D,STD,ECL,USD,A,1510
004321,20210930,2021,INDL,C,D,STD,EMR,USD,A,2010
004383,20210930,2021,INDL,C,D,STD,ATO,USD,A,5510
004384,20211231,2021,INDL,C,D,STD,MARA,USD,A,4510
004390,20210228,2020,INDL,C,D,STD,EBF,USD,A,2020
004423,20211231,2021,INDL,C,D,STD,EFX,USD,A,2020
004430,20211231,2021,INDL,C,D,STD,EQT,USD,A,1010
004462,20211231,2021,INDL,C,D,STD,NEU,USD,A,1510
004494,20211231,2021,INDL,C,D,STD,EXPD,USD,A,2030
004497,20211231,2021,INDL,C,D,STD,BOOM,USD,A,1010
004498,20210930,2021,INDL,C,D,STD,IIIN,USD,A,2010
004510,20211231,2021,INDL,C,D,STD,FMC,USD,A,1510
004517,20211231,2021,INDL,C,D,STD,NEE,USD,A,5510
004598,20210531,2020,INDL,C,D,STD,FDX,USD,A,2030
004605,20211231,2021,INDL,C,D,STD,FRT,USD,A,6010
004608,20211231,2021,INDL,C,D,STD,FSS,USD,A,2010
004611,20210131,2020,INDL,C,D,STD,M,USD,A,2550
004622,20211231,2021,INDL,C,D,STD,FOE,USD,A,1510
004640,20211231,2021,INDL,C,D,STD,FITB,USD,A,4010
004674,20211231,2021,INDL,C,D,STD,RF,USD,A,4010
004685,20211231,2021,INDL,C,D,STD,TRMK,USD,A,4010
004690,20211231,2021,INDL,C,D,STD,FCNCA,USD,A,4010
004699,20211231,2021,INDL,C,D,STD,MTB,USD,A,4010
004723,20211231,2021,INDL,C,D,STD,USB,USD,A,4010
004737,20211231,2021,INDL,C,D,STD,FHN,USD,A,4010
004809,20211231,2021,INDL,C,D,STD,FLO,USD,A,3020
004818,20211231,2021,INDL,C,D,STD,FLR,USD,A,2010
004839,20211231,2021,INDL,C,D,STD,F,USD,A,2510
004881,20211231,2021,INDL,C,D,STD,FELE,USD,A,2010
004885,20210930,2021,INDL,C,D,STD,BEN,USD,A,4020
004926,20211130,2021,INDL,C,D,STD,FUL,USD,A,1510
004941,20211231,2021,INDL,C,D,STD,GATX,USD,A,2010
004973,20211231,2021,INDL,C,D,STD,AJG,USD,A,4030
004988,20211231,2021,INDL,C,D,STD,TGNA,USD,A,5020
004990,20210131,2020,INDL,C,D,STD,GPS,USD,A,2550
005018,20211231,2021,INDL,C,D,STD,AJRD,USD,A,2010
005046,20211231,2021,INDL,C,D,STD,GD,USD,A,2010
005047,20211231,2021,INDL,C,D,STD,GE,USD,A,2010
005071,20210531,2020,INDL,C,D,STD,GIS,USD,A,3020
005072,20211231,2021,INDL,C,D,STD,ALLY,USD,A,4020
005073,20211231,2021,INDL,C,D,STD,GM,USD,A,2510
005087,20211231,2021,INDL,C,D,STD,SPXC,USD,A,2010
005109,20210131,2020,INDL,C,D,STD,GCO,USD,A,2550
005116,20211231,2021,INDL,C,D,STD,GNTX,USD,A,2510
005125,20211231,2021,INDL,C,D,STD,GPC,USD,A,2550
005149,20211231,2021,INDL,C,D,STD,GTY,USD,A,6010
005179,20211231,2021,INDL,C,D,STD,GLT,USD,A,1510
005234,20211231,2021,INDL,C,D,STD,GT,USD,A,2510
005237,20211231,2021,INDL,C,D,STD,GRC,USD,A,2010
005252,20211231,2021,INDL,C,D,STD,GGG,USD,A,2010
005256,20211231,2021,INDL,C,D,STD,GWW,USD,A,2010
005342,20211231,2021,INDL,C,D,STD,MGI,USD,A,4510
005439,20211231,2021,INDL,C,D,STD,HAL,USD,A,1010
005496,20211231,2021,INDL,C,D,STD,HSC,USD,A,2020
005518,20211231,2021,INDL,C,D,STD,HAS,USD,A,2520
005520,20211231,2021,INDL,C,D,STD,AMOT,USD,A,2010
005526,20211231,2021,INDL,C,D,STD,HE,USD,A,5510
005530,20210331,2020,INDL,C,D,STD,HWKN,USD,A,1510
005539,20211231,2021,INDL,C,D,STD,HCSG,USD,A,2020
005559,20211231,2021,INDL,C,D,STD,STRL,USD,A,2010
005560,20211231,2021,INDL,C,D,STD,HL,USD,A,1510
005568,20211231,2021,INDL,C,D,STD,KHC,USD,A,3020
005572,20210228,2020,INDL,C,D,STD,HELE,USD,A,2520
005581,20210930,2021,INDL,C,D,STD,HP,USD,A,1010
005597,20211231,2021,INDL,C,D,STD,HSY,USD,A,3020
005606,20211031,2021,INDL,C,D,STD,HPQ,USD,A,4520
005608,20211231,2021,INDL,C,D,STD,HXL,USD,A,2010
005643,20211231,2021,INDL,C,D,STD,HLT,USD,A,2530
005680,20210131,2020,INDL,C,D,STD,HD,USD,A,2550
005690,20211231,2021,INDL,C,D,STD,HNI,USD,A,2020
005709,20211031,2021,INDL,C,D,STD,HRL,USD,A,3020
005742,20211231,2021,INDL,C,D,STD,CNP,USD,A,5510
005750,20211031,2021,INDL,C,D,STD,HOV,USD,A,2520
005763,20211031,2021,INDL,C,D,STD,UBA,USD,A,6010
005764,20211231,2021,INDL,C,D,STD,HUBB,USD,A,2010
