,tic,ROA,Net Profit Margin,Inventory Turnover,Dividend Payout Ratio,Dividend Yield,B/P,E/P,EBIT/P,S/P,CF/P,1/Financial Leverage,1/ROE
17,AXP,0.05367863886119185,0.05367863886119185,530.4076279302161,0.1774193548387097,0.011485980677849568,0.17812908635851038,0.06473916382060665,0.08129343387448634,0.35070795408178024,0.11763090001895589,0.11761991641385747,2.751488833746898
18,AFL,0.02897639994414188,0.02897639994414188,273.6894699587792,0.2145664739884393,0.02437103590328719,0.8732866992370786,0.11358268349322963,0.11988553760614871,0.5524714248894963,0.13264881718480992,0.21107387236419495,7.688554913294797
19,AIG,0.018993075126821805,0.018993075126821805,601.0908939501187,0.11844908393694077,0.023888013600611328,1.4064497647892304,0.20167326590156398,0.24321950538320272,1.1180535574257349,0.13488564514230084,0.10983003194030652,6.973902854708138
20,ANAT,0.022216119687917632,0.022216119687917632,57.58113003289337,0.12610731777070747,0.01736932749060065,1.377565125091025,0.13773449310992517,0.137043383345048,0.8278179333975333,0.06908872074436251,0.22331725144196324,10.001598684445716
21,AMSWA,0.02461658303087092,0.02461658303087092,0.7499687721197486,1.775621213994313,0.025454680982560252,0.21690620762629897,0.01433564815622989,0.0077287379910147775,0.19744169734074166,0.03146789079762862,0.6908617779709523,15.1305476573124
22,AVD,0.04852483577273251,0.04852483577273251,2.082874288750923,0.12826168827675258,0.004709248080245587,0.7362901472041022,0.03671593710886104,0.06653788269085249,1.100020300730923,0.17059369692033943,0.5369626599054973,20.05369344165277
23,AME,0.10998902605918029,0.10998902605918029,4.344639386355511,0.18644961431357715,0.005419130854678727,0.2017369842854523,0.029064854194681532,0.03841845107176473,0.16282827353561866,0.03406738175046947,0.5775572362411181,6.9409253848026315
24,AMGN,0.15162266001798413,0.15162266001798413,0.7856093979441997,0.6954013236042763,0.032627193447274855,0.05334363008705258,0.04691850926910462,0.07383713812348146,0.20683793522858793,0.0737336355576409,0.1095397694760075,1.1369421347361277
25,ADI,0.03611317296671991,0.03611317296671991,1.878587551328075,0.7978469845845362,0.012014022932648472,0.4114533191305945,0.01505805394364503,0.020463164316574668,0.07925589883001148,0.029620371758783497,0.7261284057353158,27.32446839880267
26,ANDE,0.03697459018707573,0.03697459018707573,6.525307819400862,0.23574682426601914,0.01792578365449148,0.8182191332482666,0.07933732875488193,0.12889855371389924,9.622510310263003,-0.03894919155402383,0.23470641262762845,10.313167157117304
27,NBR,-0.03976769675264834,-0.03976769675264834,10.177266544350248,-0.006416742199082369,0.005490397478174617,0.887746020495129,-0.8556062286327459,-0.3302519924108368,3.032340665561523,0.6444431067894333,0.10689902058941275,-1.0375637656515688
28,APA,0.20581823648801023,0.20581823648801023,7.054968287526427,0.08941418293936279,0.009325783789062717,-0.17097270279948312,0.10429870835354049,0.2934942070626864,0.8660115773774447,0.3747464382363593,-0.1198977674208825,-1.6392600205549845
29,APOG,0.07357410459472426,0.07357410459472426,6.14225660566694,1.2698237885462555,0.024061539797131305,0.6048774770336954,0.018948723448217887,0.09168083769954347,1.5108574859585981,0.1741463303015376,0.4854157082215626,31.92180616740088
30,AAPL,0.3103942427678475,0.3103942427678475,30.65303951367781,0.152418673426278,0.0049473681925862,0.021629094260291276,0.03245906870445994,0.03735089856656323,0.12541274964363566,0.035667264362849636,0.17974256556942697,0.6663498098859316
31,AMAT,0.28147144240077443,0.28147144240077443,2.729867718728243,0.14453125,0.006062759751140453,0.08725102076641261,0.04194774314302584,0.051786369719200885,0.1643072011052318,0.038770315588374085,0.4742303969022265,2.0799932065217392
32,ADM,0.054118569189112155,0.054118569189112155,5.404737241903184,0.3078626799557032,0.022034113245830954,0.5938378458351827,0.07157123834886818,0.08026335256694778,2.252261534884704,0.17423858136241624,0.40040259370101183,8.297157622739018
33,ARCB,0.12844184342511583,0.12844184342511583,59.69921305741766,0.03811803054500494,0.0027309240101017008,0.3117350260834448,0.07164389059600998,0.09104959032868377,1.335454052354521,0.10855079016194272,0.4397583917268904,4.351173889219328
34,ARW,0.08047973078809185,0.08047973078809185,7.204879859779888,0.0,0.0,0.5779808285690564,0.12125726039112593,0.172029416832778,3.77242381014886,0.045844494011854496,0.2703941124739833,4.766566774679954
35,ASH,0.029794313369630974,0.029794313369630974,2.7167019027484143,0.41040462427745666,0.011569887006202111,0.4484553386065945,0.035850354103724856,0.032102362538335434,0.34400044324074164,0.09125544680948144,0.4162129461584997,12.509090909090908
36,ATRO,-0.06176925425765589,-0.06176925425765589,2.2967076204498147,-0.0,0.0,0.6793210072643328,-0.06771395895546095,-0.09960925090539424,1.1778279009678718,-0.014639854289768517,0.4212575803840837,-10.032215184924544
37,REX,-0.0079274843797265,-0.0079274843797265,8.924999999999999,0.0,0.0,0.8740454810851654,0.006816856484659097,-0.008631807611364402,0.8469302475438872,0.019587388692840848,0.8027266373906059,128.21826057980675
38,ADSK,0.08937058710404132,0.08937058710404132,4.207020027480535,0.0,0.0,0.014399129615491491,0.018018672606356107,0.009702821054208974,0.056528701081883945,0.021433898584551397,0.1326272699799445,0.7991226618109585
39,ADP,0.06753600902147727,0.06753600902147727,135.39742682266728,0.6094670001924187,0.015158513137559913,0.054271822530326745,0.024871753733629747,0.03152783129621052,0.14362540445434205,0.029607772108615323,0.11625608693423549,2.182066576871272
40,AVY,0.1335114657032465,0.1335114657032465,6.452270723104056,0.2980678286718011,0.012330923930048442,0.10756858572522766,0.04136952312161764,0.05949139772779037,0.47000048812795236,0.058513196600066666,0.24140699483165237,2.600189163626537
41,AVT,0.04098394451265161,0.04098394451265161,5.302130444010619,0.43657632279379016,0.020530376059804355,0.9945537655224945,0.04702585776622968,0.08907697911611302,4.756957217824466,0.02214730541535478,0.4575900164720503,21.149082925111593
